hosts threads instance probability runtime totalspawns
8 16 brock400_2 100000 58355 67170
1 2 brock800_3 10000000 4520370 25527
8 16 brock400_2 1000000 44275 14546
8 16 brock400_2 10000000 92186 3073
8 16 brock400_3 10000 311649 453392
8 16 brock400_3 100000 97335 112967
8 16 brock400_3 1000000 25662 8029
8 16 brock400_3 10000000 144227 2400
8 16 brock800_3 10000 4806508 7088787
8 16 brock800_3 100000 1171314 1484957
8 16 brock800_3 1000000 259084 123246
8 16 brock800_3 10000000 403765 23883
1 16 brock800_3 10000 nan nan
8 16 brock800_4 10000 nan nan
8 16 brock800_4 100000 595820 743945
8 16 brock800_4 1000000 318414 153487
8 16 brock800_4 10000000 336395 18580
17 16 brock400_1 10000 358553 1085706
17 16 brock400_1 100000 56885 134143
1 16 brock800_3 100000 nan nan
17 16 brock400_1 1000000 52952 12634
17 16 brock400_1 10000000 112827 1839
17 16 brock400_2 10000 213461 645437
17 16 brock400_2 100000 33955 79838
17 16 brock400_2 1000000 41044 17553
17 16 brock400_2 10000000 199970 1757
17 16 brock400_3 10000 92904 275831
17 16 brock400_3 100000 37053 83756
17 16 brock400_3 1000000 32664 12220
17 16 brock400_3 10000000 59071 924
1 2 brock400_1 10000000 539951 3138
1 16 brock800_3 1000000 4908449 296400
17 16 brock800_3 10000 2539018 7879466
17 16 brock800_3 100000 392780 1029319
17 16 brock800_3 1000000 147769 124276
17 16 brock800_3 10000000 202497 15238
17 16 brock800_4 10000 2118821 6568666
17 16 brock800_4 100000 433021 1140950
17 16 brock800_4 1000000 176137 166124
17 16 brock800_4 10000000 191880 11190
1 16 brock800_3 10000000 4012054 33520
17 16 brock400_1 10000 599532 1848586
17 16 brock400_1 100000 51903 119534
17 16 brock400_1 1000000 38253 13764
17 16 brock400_1 10000000 84220 2481
17 16 brock400_2 10000 653816 2017701
17 16 brock400_2 100000 35319 84523
17 16 brock400_2 1000000 34275 13809
17 16 brock400_2 10000000 58043 890
1 2 brock800_4 10000 nan nan
17 16 brock400_3 10000 318798 979484
17 16 brock400_3 100000 48503 112609
17 16 brock400_3 1000000 22171 12294
17 16 brock400_3 10000000 35190 671
17 16 brock800_3 10000 2392960 7438405
17 16 brock800_3 100000 583112 1543288
17 16 brock800_3 1000000 134835 130231
17 16 brock800_3 10000000 276555 13422
17 16 brock800_4 10000 2663715 8249057
17 16 brock800_4 100000 468325 1237672
1 2 brock800_4 100000 nan nan
17 16 brock800_4 1000000 164296 149970
17 16 brock800_4 10000000 164611 12901
17 16 brock400_1 10000 302717 922640
17 16 brock400_1 100000 62144 146262
17 16 brock400_1 1000000 43930 17027
17 16 brock400_1 10000000 190765 1485
1 2 brock800_4 1000000 4348706 92783
17 16 brock400_2 10000 321367 980667
17 16 brock400_2 100000 37875 85647
17 16 brock400_2 1000000 39966 16769
17 16 brock400_2 10000000 46738 1072
17 16 brock400_3 10000 142440 426734
17 16 brock400_3 100000 46803 101942
17 16 brock400_3 1000000 18720 8077
17 16 brock400_3 10000000 60848 1625
17 16 brock800_3 10000 2482095 7647497
17 16 brock800_3 100000 761245 2022281
1 2 brock800_4 10000000 4078057 24541
17 16 brock800_3 1000000 154628 143423
17 16 brock800_3 10000000 376016 13427
17 16 brock800_4 10000 3904811 12098819
17 16 brock800_4 100000 389452 1011329
17 16 brock800_4 1000000 115522 113389
17 16 brock800_4 10000000 216926 17572
1 16 brock800_4 10000 nan nan
1 16 brock800_4 100000 4583508 752176
1 16 brock800_4 1000000 2196546 139337
1 16 brock800_4 10000000 1251018 15033
1 16 brock400_1 10000 nan nan
1 2 brock400_1 10000 nan nan
1 2 brock400_1 100000 4868333 161427
1 16 brock400_1 100000 1185668 186303
1 2 brock400_1 1000000 1001765 20161
1 2 brock400_1 10000000 425959 1649
1 16 brock400_1 10000 nan nan
1 16 brock400_1 100000 1012176 161828
1 16 brock400_1 1000000 493031 22318
1 16 brock400_1 10000000 392482 2386
1 2 brock400_2 10000 nan nan
1 2 brock400_2 100000 3447291 114142
1 2 brock400_2 1000000 736052 14888
1 2 brock400_2 10000000 368112 1411
1 16 brock400_1 1000000 460715 20148
1 16 brock400_2 10000 5907270 1135860
1 16 brock400_2 100000 371125 60671
1 16 brock400_2 1000000 189286 9138
1 16 brock400_2 10000000 196061 1179
1 2 brock400_3 10000 nan nan
1 2 brock400_3 100000 2789341 91469
1 2 brock400_3 1000000 836215 17080
1 2 brock400_3 10000000 283172 637
1 16 brock400_3 10000 3400844 640621
1 16 brock400_3 100000 237679 36431
1 16 brock400_1 10000000 446327 1243
1 16 brock400_3 1000000 119738 5148
1 16 brock400_3 10000000 224359 1655
1 2 brock800_3 10000 nan nan
1 2 brock800_3 100000 nan nan
1 2 brock800_3 1000000 nan nan
1 2 brock800_3 10000000 6252727 36145
1 16 brock800_3 10000 nan nan
1 16 brock800_3 100000 nan nan
1 16 brock800_3 1000000 4634549 263178
1 16 brock800_3 10000000 4264441 33614
1 2 brock400_2 10000 nan nan
1 2 brock800_4 10000 nan nan
1 2 brock800_4 100000 nan nan
1 2 brock800_4 1000000 4811515 107267
1 2 brock800_4 10000000 2124201 12184
1 16 brock800_4 10000 nan nan
1 16 brock800_4 100000 5805378 940273
1 16 brock800_4 1000000 2422033 152866
1 16 brock800_4 10000000 2047100 17033
1 2 brock400_2 100000 3536211 120240
1 2 brock400_1 10000 nan nan
1 2 brock400_1 100000 4799695 160165
1 2 brock400_1 1000000 984808 19322
1 2 brock400_1 10000000 533375 2966
