hosts threads instance probability runtime totalspawns
1 2 40 10000 349875 622119
1 2 40 100000 167682 76231
1 2 40 1000000 147387 9037
1 2 40 10000000 144561 1005
1 16 40 10000 1097877 620363
1 16 40 100000 1058821 74942
1 16 40 1000000 1064614 8679
1 16 40 10000000 882062 1046
4 16 40 10000 276288 624889
4 16 40 100000 277488 76480
4 16 40 1000000 330851 8552
4 16 40 10000000 538478 622
4 16 40 10000 270696 624249
4 16 40 100000 271215 76117
4 16 40 1000000 311746 8509
4 16 40 10000000 577413 665
4 16 40 10000 281869 626646
4 16 40 100000 281649 78225
4 16 40 1000000 381054 8628
4 16 40 10000000 674462 745
8 16 40 10000 136512 627971
8 16 40 100000 139293 77874
8 16 40 1000000 249739 7856
8 16 40 10000000 351661 803
8 16 40 10000 139106 626780
8 16 40 100000 148697 76386
8 16 40 1000000 243537 8330
8 16 40 10000000 512455 591
8 16 40 10000 139250 627924
8 16 40 100000 156447 76398
8 16 40 1000000 215831 8526
8 16 40 10000000 644684 566
17 16 40 10000 67644 635090
17 16 40 100000 81898 74719
17 16 40 1000000 189624 7473
17 16 40 10000000 865483 660
17 16 40 10000 66750 629395
17 16 40 100000 82908 76526
17 16 40 1000000 221698 7767
17 16 40 10000000 820999 470
17 16 40 10000 66260 633861
17 16 40 100000 75272 77706
17 16 40 1000000 168594 8335
17 16 40 10000000 710629 663
1 2 40 10000 327594 624148
1 2 40 100000 169074 76824
1 2 40 1000000 147542 8331
1 2 40 10000000 142901 639
1 16 40 10000 1055522 618698
1 16 40 100000 1072216 77657
1 16 40 1000000 1063513 8901
1 16 40 10000000 1030294 640
1 2 40 10000 333245 625131
1 2 40 100000 169769 76042
1 2 40 1000000 146641 8699
1 2 40 10000000 143869 871
1 16 40 10000 1082437 624129
1 16 40 100000 1058039 76578
1 16 40 1000000 1094881 9313
1 16 40 10000000 904469 603
