hosts threads instance probability runtime totalspawns
1 1 brock400_1 0 436289 1
1 1 brock400_2 0 319736 1
1 1 brock800_4 0 1808192 1
1 1 brock400_1 0 439094 1
1 1 brock400_2 0 320859 1
1 1 brock400_3 0 255769 1
1 1 brock800_3 0 5154906 1
1 1 brock800_4 0 1801405 1
1 1 brock400_3 0 256796 1
1 1 brock800_3 0 5066311 1
1 1 brock800_4 0 1797588 1
1 1 brock400_1 0 434088 1
1 1 brock400_2 0 318167 1
1 1 brock400_3 0 257555 1
1 1 brock800_3 0 5035806 1
