hosts threads instance probability runtime totalspawns
1 16 brock400_1 10000000 481241 2046
1 16 brock400_1 1000000 465392 23105
1 16 brock400_2 100000 452382 72751
1 2 brock400_1 10000000 539944 2844
1 2 brock400_1 1000000 961622 18554
1 2 brock400_1 100000 nan nan
1 2 brock400_1 10000 nan nan
1 16 brock400_2 10000000 181320 1167
1 16 brock400_2 1000000 364471 17211
1 16 brock400_2 100000 358134 58345
1 16 brock400_2 10000 2810936 516129
1 2 brock400_2 10000000 332328 1810
1 2 brock400_2 1000000 767255 15598
1 16 brock400_2 10000 3394867 632039
1 2 brock400_2 100000 3560591 118022
1 2 brock400_2 10000 nan nan
1 16 brock400_3 10000000 203815 1658
1 16 brock400_3 1000000 98721 5168
1 16 brock400_3 100000 630987 99631
1 16 brock400_3 10000 2458714 467102
1 2 brock400_3 10000000 307963 1201
1 2 brock400_3 1000000 788321 15006
1 2 brock400_3 100000 2845367 94205
1 2 brock400_3 10000 nan nan
1 2 brock400_2 10000000 387986 1849
1 16 brock800_3 10000000 nan nan
1 16 brock800_3 1000000 nan nan
1 16 brock800_3 100000 nan nan
1 16 brock800_3 10000 nan nan
1 2 brock800_3 10000000 nan nan
1 2 brock800_3 1000000 nan nan
1 2 brock800_3 100000 nan nan
1 2 brock800_3 10000 nan nan
1 16 brock800_4 10000000 1456265 14721
1 16 brock800_4 1000000 2297774 150623
1 2 brock400_2 1000000 769196 15932
1 16 brock800_4 100000 nan nan
1 16 brock800_4 10000 nan nan
1 2 brock800_4 10000000 2194449 15205
1 2 brock800_4 1000000 nan nan
1 2 brock800_4 100000 nan nan
1 2 brock800_4 10000 nan nan
1 2 brock400_2 100000 3404737 113444
4 16 brock400_1 10000000 108593 2073
4 16 brock400_1 1000000 75146 14341
4 16 brock400_1 100000 389416 241350
4 16 brock400_1 10000 1125849 849039
4 16 brock400_2 10000000 154608 637
4 16 brock400_2 1000000 80425 15393
1 2 brock400_2 10000 nan nan
4 16 brock400_2 100000 148860 90196
4 16 brock400_2 10000 868260 647543
4 16 brock400_3 10000000 48183 400
4 16 brock400_3 1000000 19259 3285
4 16 brock400_3 100000 101332 62394
4 16 brock400_3 10000 781472 584955
4 16 brock800_3 10000000 527978 20564
4 16 brock800_3 1000000 452435 112568
4 16 brock800_3 100000 2648493 1719136
4 16 brock800_3 10000 nan nan
1 16 brock400_3 10000000 121084 1187
4 16 brock800_4 10000000 408311 11048
4 16 brock800_4 1000000 1091473 250752
4 16 brock800_4 100000 1280176 832923
4 16 brock800_4 10000 nan nan
4 16 brock400_1 10000000 152559 2370
4 16 brock400_1 1000000 127598 22275
1 16 brock400_3 1000000 102678 5589
4 16 brock400_1 100000 189917 115312
4 16 brock400_1 10000 1219171 927280
4 16 brock400_2 10000000 91566 1728
4 16 brock400_2 1000000 90736 15162
4 16 brock400_2 100000 111291 68381
4 16 brock400_2 10000 859235 646244
4 16 brock400_3 10000000 84141 936
4 16 brock400_3 1000000 48836 7614
4 16 brock400_3 100000 163049 101524
4 16 brock400_3 10000 1258809 940715
1 16 brock400_3 100000 371643 57887
4 16 brock800_3 10000000 478155 18906
4 16 brock800_3 1000000 918247 215612
4 16 brock800_3 100000 2710610 1758755
4 16 brock800_3 10000 nan nan
4 16 brock800_4 10000000 367661 14413
4 16 brock800_4 1000000 422901 105291
4 16 brock800_4 100000 1196983 772664
4 16 brock800_4 10000 nan nan
1 16 brock400_3 10000 3067862 581053
4 16 brock400_1 10000000 103767 2533
4 16 brock400_1 1000000 81735 15002
4 16 brock400_1 100000 175979 107439
4 16 brock400_1 10000 1416672 1059577
4 16 brock400_2 10000000 111906 1588
4 16 brock400_2 1000000 76959 13752
4 16 brock400_2 100000 254473 154738
4 16 brock400_2 10000 1522990 1138744
1 16 brock400_1 100000 1027636 159977
1 2 brock400_3 10000000 312591 1804
4 16 brock400_3 10000000 110079 1400
4 16 brock400_3 1000000 63919 8283
4 16 brock400_3 100000 72755 45202
4 16 brock400_3 10000 792060 592739
4 16 brock800_3 10000000 417033 13240
4 16 brock800_3 1000000 480698 117516
4 16 brock800_3 100000 1367728 885935
4 16 brock800_3 10000 nan nan
4 16 brock800_4 10000000 597293 23439
4 16 brock800_4 1000000 457494 119722
1 2 brock400_3 1000000 385483 7705
4 16 brock800_4 100000 1104541 712714
4 16 brock800_4 10000 nan nan
8 16 brock400_1 10000000 87725 3505
8 16 brock400_1 1000000 57785 14825
8 16 brock400_1 100000 131466 157856
8 16 brock400_1 10000 565956 840988
1 2 brock400_3 100000 2901660 95994
8 16 brock400_2 10000000 62485 1944
8 16 brock400_2 1000000 43953 12549
8 16 brock400_2 100000 86199 102929
8 16 brock400_2 10000 1065564 1583059
8 16 brock400_3 10000000 82537 1929
8 16 brock400_3 1000000 39207 9871
8 16 brock400_3 100000 44472 53797
8 16 brock400_3 10000 343468 512590
8 16 brock800_3 10000000 297138 9061
8 16 brock800_3 1000000 264901 128841
1 2 brock400_3 10000 nan nan
8 16 brock800_3 100000 756938 980810
8 16 brock800_3 10000 nan nan
8 16 brock800_4 10000000 257608 17456
8 16 brock800_4 1000000 301755 145191
8 16 brock800_4 100000 1400106 1808020
8 16 brock800_4 10000 nan nan
1 16 brock800_3 10000000 nan nan
8 16 brock400_1 10000000 76405 1955
8 16 brock400_1 1000000 64006 13247
8 16 brock400_1 100000 93880 111205
8 16 brock400_1 10000 673421 1000829
8 16 brock400_2 10000000 67897 2814
8 16 brock400_2 1000000 51309 15814
8 16 brock400_2 100000 101696 117677
8 16 brock400_2 10000 623099 921086
8 16 brock400_3 10000000 61354 2670
8 16 brock400_3 1000000 16031 3638
1 16 brock800_3 1000000 nan nan
8 16 brock400_3 100000 73512 87513
8 16 brock400_3 10000 369583 547079
8 16 brock800_3 10000000 246018 15115
