hosts threads instance probability runtime totalspawns
8 16 brock800_3 1000000 249561 118110
8 16 brock800_3 100000 784853 994370
8 16 brock800_3 10000 nan nan
8 16 brock800_4 10000000 322734 20816
8 16 brock800_4 1000000 215709 110849
8 16 brock800_4 100000 728096 932692
8 16 brock800_4 10000 nan nan
1 16 brock800_3 100000 nan nan
8 16 brock400_1 10000000 73343 1345
8 16 brock400_1 1000000 63728 14907
8 16 brock400_1 100000 108705 127617
8 16 brock400_1 10000 673406 995481
8 16 brock400_2 10000000 74925 1203
8 16 brock400_2 1000000 37922 9502
1 16 brock800_3 10000 nan nan
8 16 brock400_2 100000 73968 89034
8 16 brock400_2 10000 460746 679416
8 16 brock400_3 10000000 37553 1584
8 16 brock400_3 1000000 18554 6317
8 16 brock400_3 100000 70554 82874
8 16 brock400_3 10000 189318 278759
8 16 brock800_3 10000000 373517 22738
8 16 brock800_3 1000000 288412 137608
8 16 brock800_3 100000 1072811 1379164
8 16 brock800_3 10000 nan nan
1 2 brock800_3 10000000 nan nan
8 16 brock800_4 10000000 287723 18919
8 16 brock800_4 1000000 190150 94812
8 16 brock800_4 100000 724168 935826
8 16 brock800_4 10000 nan nan
17 16 brock400_1 10000000 73995 1491
17 16 brock400_1 1000000 39047 16057
1 2 brock800_3 1000000 nan nan
17 16 brock400_1 100000 109180 263725
17 16 brock400_1 10000 326815 1010581
17 16 brock400_2 10000000 60215 3142
17 16 brock400_2 1000000 38573 15506
17 16 brock400_2 100000 49098 115659
17 16 brock400_2 10000 359857 1119866
17 16 brock400_3 10000000 59018 1611
17 16 brock400_3 1000000 16971 4792
17 16 brock400_3 100000 37845 84910
17 16 brock400_3 10000 172972 531206
1 16 brock400_1 10000 nan nan
1 2 brock800_3 100000 nan nan
17 16 brock800_3 10000000 178825 13675
17 16 brock800_3 1000000 142935 137392
17 16 brock800_3 100000 796376 2154402
17 16 brock800_3 10000 2561047 8079611
17 16 brock800_4 10000000 259037 22547
17 16 brock800_4 1000000 189419 179498
17 16 brock800_4 100000 532585 1423830
17 16 brock800_4 10000 3089466 9738803
1 2 brock800_3 10000 nan nan
17 16 brock400_1 10000000 113749 1959
17 16 brock400_1 1000000 39229 15592
17 16 brock400_1 100000 49756 117849
17 16 brock400_1 10000 422690 1314524
17 16 brock400_2 10000000 60691 1637
17 16 brock400_2 1000000 35055 13501
17 16 brock400_2 100000 52013 124814
17 16 brock400_2 10000 195937 604802
1 16 brock800_4 10000000 1551298 14923
17 16 brock400_3 10000000 43656 2382
17 16 brock400_3 1000000 32355 12106
17 16 brock400_3 100000 38462 89798
17 16 brock400_3 10000 118293 361547
17 16 brock800_3 10000000 312600 23826
17 16 brock800_3 1000000 138245 118937
17 16 brock800_3 100000 588121 1556119
17 16 brock800_3 10000 nan nan
17 16 brock800_4 10000000 188618 15775
17 16 brock800_4 1000000 141331 123279
1 16 brock800_4 1000000 1969821 130605
17 16 brock800_4 100000 376423 963318
17 16 brock800_4 10000 2210412 6936694
17 16 brock400_1 10000000 77773 866
17 16 brock400_1 1000000 65306 16681
17 16 brock400_1 100000 54566 130730
17 16 brock400_1 10000 298819 919308
1 16 brock800_4 100000 nan nan
17 16 brock400_2 10000000 127613 3907
17 16 brock400_2 1000000 33684 11171
17 16 brock400_2 100000 50879 117433
17 16 brock400_2 10000 384875 1190380
17 16 brock400_3 10000000 23039 1191
17 16 brock400_3 1000000 22300 6632
17 16 brock400_3 100000 44143 103940
17 16 brock400_3 10000 264596 822427
17 16 brock800_3 10000000 274921 18522
17 16 brock800_3 1000000 148672 141491
1 16 brock800_4 10000 nan nan
17 16 brock800_3 100000 373813 987116
17 16 brock800_3 10000 2900871 9096832
17 16 brock800_4 10000000 166432 10651
17 16 brock800_4 1000000 187657 184720
17 16 brock800_4 100000 425485 1131226
17 16 brock800_4 10000 nan nan
1 2 brock800_4 10000000 2118730 12093
1 2 brock800_4 1000000 nan nan
1 2 brock800_4 100000 nan nan
1 2 brock800_4 10000 nan nan
1 2 brock400_1 10000000 509773 2199
1 16 brock400_1 10000000 490839 2769
1 16 brock400_1 1000000 472347 19049
1 2 brock400_1 1000000 746996 13358
1 16 brock400_1 100000 1111685 173212
1 16 brock400_1 10000 nan nan
1 2 brock400_1 10000000 445463 2355
1 2 brock400_1 1000000 926577 17236
1 2 brock400_1 100000 nan nan
1 2 brock400_1 10000 nan nan
1 16 brock400_2 10000000 168876 1458
1 16 brock400_2 1000000 164163 8022
1 16 brock400_2 100000 616760 95565
1 16 brock400_2 10000 2475196 465677
1 2 brock400_1 100000 nan nan
1 2 brock400_2 10000000 377297 1381
1 2 brock400_2 1000000 634578 11321
1 2 brock400_2 100000 nan nan
1 2 brock400_2 10000 nan nan
1 16 brock400_3 10000000 151715 1042
1 16 brock400_3 1000000 209901 10122
1 16 brock400_3 100000 391436 62312
1 16 brock400_3 10000 1860142 351491
1 2 brock400_3 10000000 234512 1366
1 2 brock400_3 1000000 611083 12512
1 2 brock400_1 10000 nan nan
1 2 brock400_3 100000 2891938 96421
1 2 brock400_3 10000 nan nan
1 16 brock800_3 10000000 nan nan
1 16 brock800_3 1000000 nan nan
1 16 brock800_3 100000 nan nan
1 16 brock800_3 10000 nan nan
1 2 brock800_3 10000000 nan nan
1 2 brock800_3 1000000 nan nan
1 2 brock800_3 100000 nan nan
1 2 brock800_3 10000 nan nan
1 16 brock400_2 10000000 168061 2240
1 16 brock800_4 10000000 1365652 13966
1 16 brock800_4 1000000 2229188 137115
1 16 brock800_4 100000 nan nan
1 16 brock800_4 10000 nan nan
1 2 brock800_4 10000000 2087410 12164
1 2 brock800_4 1000000 nan nan
1 2 brock800_4 100000 nan nan
1 2 brock800_4 10000 nan nan
1 16 brock400_2 1000000 168467 9003
1 16 brock400_1 10000000 411105 3546
1 16 brock400_1 1000000 489300 20673
1 16 brock400_1 100000 966792 148193
1 16 brock400_1 10000 nan nan
